,Post_By,Post_Link,Post_Date,is_verified,Post_Type,Video_views,Post_likes
1844,travisscott,/2DGa7PhUg0/,"APRIL 28, 2015",True,Photo,,"27,666"
1845,travisscott,/2C2KRmBUh6/,"APRIL 28, 2015",True,Photo,,"25,078"
1846,travisscott,/2Ary84BUpX/,"APRIL 28, 2015",True,Photo,,"17,208"
1847,travisscott,/2AhK0PBUgf/,"APRIL 27, 2015",True,Photo,,"13,979"
1848,travisscott,/19Sh_3hUnD/,"APRIL 26, 2015",True,Photo,,"11,892"
1849,travisscott,/19QWU5BUjW/,"APRIL 26, 2015",True,Photo,,"12,389"
1850,travisscott,/18bZv8BUsr/,"APRIL 26, 2015",True,Photo,,"14,893"
1851,travisscott,/17Wp3HBUiK/,"APRIL 25, 2015",True,Photo,,"15,373"
1852,travisscott,/17Wh1gBUiA/,"APRIL 25, 2015",True,Photo,,"13,046"
1853,travisscott,/17MP0DhUjQ/,"APRIL 25, 2015",True,Photo,,"9,332"
1854,travisscott,/16z5_PhUnR/,"APRIL 25, 2015",True,Photo,,"15,349"
1855,travisscott,/16Xs4eBUki/,"APRIL 25, 2015",True,Photo,,"14,532"
1856,travisscott,/15W9b-hUqX/,"APRIL 25, 2015",True,Photo,,"13,438"
1857,travisscott,/15EzmCBUgq/,"APRIL 25, 2015",True,Photo,,"23,949"
1858,travisscott,/15DbqchUur/,"APRIL 25, 2015",True,Photo,,"18,641"
1859,travisscott,/13tsz7BUmZ/,"APRIL 24, 2015",True,Photo,,"15,773"
1860,travisscott,/13LMb-BUvW/,"APRIL 24, 2015",True,Photo,,"27,352"
1861,travisscott,/12OeuQhUk0/,"APRIL 23, 2015",True,Photo,,"21,284"
1862,travisscott,/11owexBUjv/,"APRIL 23, 2015",True,Photo,,"16,698"
1863,travisscott,/10be4cBUkB/,"APRIL 23, 2015",True,Photo,,"19,780"
1864,travisscott,/1yUO6lhUog/,"APRIL 22, 2015",True,Photo,,"20,037"
1865,travisscott,/1wsdr_hUlV/,"APRIL 21, 2015",True,Photo,,"21,509"
1866,travisscott,/1wan6OhUrO/,"APRIL 21, 2015",True,Photo,,"16,833"
1867,travisscott,/1uvj68BUiv/,"APRIL 21, 2015",True,Photo,,"16,879"
1868,travisscott,/1tmxRVBUjb/,"APRIL 20, 2015",True,Photo,,"27,073"
1869,travisscott,/1tk7AdhUvf/,"APRIL 20, 2015",True,Photo,,"20,864"
1870,travisscott,/1tMR6chUge/,"APRIL 20, 2015",True,Photo,,"27,880"
1871,travisscott,/1s-W7NBUpF/,"APRIL 20, 2015",True,Photo,,"6,537"
1872,travisscott,/1s9rzzBUnu/,"APRIL 20, 2015",True,Photo,,"7,708"
1873,travisscott,/1s87mFhUmQ/,"APRIL 20, 2015",True,Photo,,"5,728"
1874,travisscott,/1s8tZJBUl1/,"APRIL 20, 2015",True,Photo,,"4,957"
1875,travisscott,/1s71CDhUkE/,"APRIL 20, 2015",True,Photo,,"5,492"
1876,travisscott,/1s7GMJhUin/,"APRIL 20, 2015",True,Photo,,"7,685"
1877,travisscott,/1s6xgaBUh-/,"APRIL 20, 2015",True,Photo,,"4,792"
1878,travisscott,/1s5surhUgL/,"APRIL 20, 2015",True,Photo,,"4,988"
1879,travisscott,/1s5oH8hUv_/,"APRIL 20, 2015",True,Photo,,"4,328"
1880,travisscott,/1s4snwBUuV/,"APRIL 20, 2015",True,Photo,,"5,883"
1881,travisscott,/1s4MhwBUtX/,"APRIL 20, 2015",True,Photo,,"6,400"
1882,travisscott,/1s36cPhUs-/,"APRIL 20, 2015",True,Photo,,"5,711"
1883,travisscott,/1s3o8LhUsf/,"APRIL 20, 2015",True,Photo,,"5,839"
1884,travisscott,/1s3O9EBUr5/,"APRIL 20, 2015",True,Photo,,"6,169"
1885,travisscott,/1s2vuAhUrD/,"APRIL 20, 2015",True,Photo,,"6,431"
1886,travisscott,/1s2NiahUp4/,"APRIL 20, 2015",True,Photo,,"6,521"
1887,travisscott,/1rYqfghUsc/,"APRIL 19, 2015",True,Photo,,"23,419"
1888,travisscott,/1rNv_0BUp3/,"APRIL 19, 2015",True,Photo,,"10,414"
1889,travisscott,/1pMLOmBUis/,"APRIL 18, 2015",True,Photo,,"20,446"
1890,travisscott,/1oBh-chUty/,"APRIL 18, 2015",True,Photo,,"30,618"
1891,travisscott,/1mLzhtBUuz/,"APRIL 17, 2015",True,Photo,,"12,626"
1892,travisscott,/1ltH8ShUkf/,"APRIL 17, 2015",True,Photo,,"14,127"
1893,travisscott,/1gYbByhUpf/,"APRIL 15, 2015",True,Photo,,"24,794"
1894,travisscott,/1dm3TDhUi2/,"APRIL 14, 2015",True,Photo,,"15,432"
1895,travisscott,/1aY1Z7hUh2/,"APRIL 13, 2015",True,Photo,,"16,624"
1896,travisscott,/1aR8FdhUqV/,"APRIL 13, 2015",True,Photo,,"22,989"
1897,travisscott,/1aH5BFBUgG/,"APRIL 13, 2015",True,Photo,,"13,231"
1898,travisscott,/1YhhQbBUjo/,"APRIL 12, 2015",True,Photo,,"23,884"
1899,travisscott,/1YgeDUBUhQ/,"APRIL 12, 2015",True,Photo,,"17,692"
1900,travisscott,/1YgLZDhUgp/,"APRIL 12, 2015",True,Photo,,"22,042"
1901,travisscott,/1WL-RaBUq7/,"APRIL 11, 2015",True,Photo,,"15,717"
1902,travisscott,/1U0aJvBUpo/,"APRIL 10, 2015",True,Photo,,"32,528"
1903,travisscott,/1UbaHGhUo6/,"APRIL 10, 2015",True,Photo,,"21,098"
1904,travisscott,/1UbFomhUoR/,"APRIL 10, 2015",True,Photo,,"8,008"
1905,travisscott,/1UYkuchUjt/,"APRIL 10, 2015",True,Photo,,"14,502"
1906,travisscott,/1UYVOeBUjV/,"APRIL 10, 2015",True,Photo,,"13,504"
1907,travisscott,/1UTxaNhUre/,"APRIL 10, 2015",True,Photo,,"9,553"
1908,travisscott,/1USzmcBUqP/,"APRIL 10, 2015",True,Photo,,"19,232"
1909,travisscott,/1UFWNThUic/,"APRIL 10, 2015",True,Photo,,"24,014"
1910,travisscott,/1UDur4hUvz/,"APRIL 10, 2015",True,Photo,,"21,594"
1911,travisscott,/1MY9XoBUhl/,"APRIL 7, 2015",True,Photo,,"26,698"
1912,travisscott,/1MWydchUug/,"APRIL 7, 2015",True,Photo,,"11,278"
1913,travisscott,/1JtUWMhUky/,"APRIL 6, 2015",True,Photo,,"27,279"
1914,travisscott,/1I8YR1hUl5/,"APRIL 6, 2015",True,Photo,,"28,763"
1915,travisscott,/1IESzjhUt2/,"APRIL 6, 2015",True,Photo,,"13,770"
1916,travisscott,/1GZep9BUqT/,"APRIL 5, 2015",True,Photo,,"16,018"
1917,travisscott,/1Dq6WqBUjX/,"APRIL 4, 2015",True,Photo,,"16,534"
